"gen","age","edu","emp","zone","count"
"femmina","(20,30]","laurea","disoccupato","centro",0.0010977617856925
"femmina","(20,30]","laurea","disoccupato","nord-est",0.00073184119046167
"femmina","(20,30]","laurea","disoccupato","nord-ovest",0.000792827956333476
"femmina","(20,30]","laurea","disoccupato","sud-isole",0.00347624565469293
"femmina","(20,30]","laurea","inattivo","centro",0.00118924193450021
"femmina","(20,30]","laurea","inattivo","nord-est",0.00125022870037202
"femmina","(20,30]","laurea","inattivo","nord-ovest",0.00118924193450021
"femmina","(20,30]","laurea","inattivo","sud-isole",0.00353723242056474
"femmina","(20,30]","laurea","occupato","centro",0.00320180520826981
"femmina","(20,30]","laurea","occupato","nord-est",0.0042080868451546
"femmina","(20,30]","laurea","occupato","nord-ovest",0.00402512654753918
"femmina","(20,30]","laurea","occupato","sud-isole",0.00445203390864182
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","centro",0.000335427212294932
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","nord-est",0.000274440446423126
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000548880892846252
"femmina","(20,30]","nessuna / elementari / medie","disoccupato","sud-isole",0.00115874855156431
"femmina","(20,30]","nessuna / elementari / medie","inattivo","centro",0.00021345368055132
"femmina","(20,30]","nessuna / elementari / medie","inattivo","nord-est",0.000182960297615417
"femmina","(20,30]","nessuna / elementari / medie","inattivo","nord-ovest",0.000274440446423126
"femmina","(20,30]","nessuna / elementari / medie","inattivo","sud-isole",0.00222601695432091
"femmina","(20,30]","nessuna / elementari / medie","occupato","centro",0.000243947063487223
"femmina","(20,30]","nessuna / elementari / medie","occupato","nord-est",0.000518387509910349
"femmina","(20,30]","nessuna / elementari / medie","occupato","nord-ovest",0.000853814722205281
"femmina","(20,30]","nessuna / elementari / medie","occupato","sud-isole",0.0010062816368848
"femmina","(20,30]","superiori","disoccupato","centro",0.0010977617856925
"femmina","(20,30]","superiori","disoccupato","nord-est",0.000823321339269379
"femmina","(20,30]","superiori","disoccupato","nord-ovest",0.00112825516862841
"femmina","(20,30]","superiori","disoccupato","sud-isole",0.00481795450387266
"femmina","(20,30]","superiori","inattivo","centro",0.00353723242056474
"femmina","(20,30]","superiori","inattivo","nord-est",0.00307983167652619
"femmina","(20,30]","superiori","inattivo","nord-ovest",0.00335427212294932
"femmina","(20,30]","superiori","inattivo","sud-isole",0.00850765383911691
"femmina","(20,30]","superiori","occupato","centro",0.00332377874001342
"femmina","(20,30]","superiori","occupato","nord-est",0.00387265963285967
"femmina","(20,30]","superiori","occupato","nord-ovest",0.00378117948405196
"femmina","(20,30]","superiori","occupato","sud-isole",0.00503140818442398
"femmina","(30,40]","laurea","disoccupato","centro",0.000335427212294932
"femmina","(30,40]","laurea","disoccupato","nord-est",0.000365920595230835
"femmina","(30,40]","laurea","disoccupato","nord-ovest",0.000304933829359029
"femmina","(30,40]","laurea","disoccupato","sud-isole",0.00143318899798744
"femmina","(30,40]","laurea","inattivo","centro",0.000243947063487223
"femmina","(30,40]","laurea","inattivo","nord-est",0.000304933829359029
"femmina","(30,40]","laurea","inattivo","nord-ovest",0.000335427212294932
"femmina","(30,40]","laurea","inattivo","sud-isole",0.00121973531743612
"femmina","(30,40]","laurea","occupato","centro",0.00433006037689821
"femmina","(30,40]","laurea","occupato","nord-est",0.00463499420625724
"femmina","(30,40]","laurea","occupato","nord-ovest",0.00487894126974447
"femmina","(30,40]","laurea","occupato","sud-isole",0.00612916997011648
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","centro",0.000243947063487223
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","nord-est",0.000274440446423126
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","nord-ovest",0.000579374275782155
"femmina","(30,40]","nessuna / elementari / medie","disoccupato","sud-isole",0.00112825516862841
"femmina","(30,40]","nessuna / elementari / medie","inattivo","centro",0.000457400744038544
"femmina","(30,40]","nessuna / elementari / medie","inattivo","nord-est",0.000579374275782155
"femmina","(30,40]","nessuna / elementari / medie","inattivo","nord-ovest",0.000823321339269379
"femmina","(30,40]","nessuna / elementari / medie","inattivo","sud-isole",0.0041775934622187
"femmina","(30,40]","nessuna / elementari / medie","occupato","centro",0.000853814722205281
"femmina","(30,40]","nessuna / elementari / medie","occupato","nord-est",0.0010367750198207
"femmina","(30,40]","nessuna / elementari / medie","occupato","nord-ovest",0.00143318899798744
"femmina","(30,40]","nessuna / elementari / medie","occupato","sud-isole",0.00125022870037202
"femmina","(30,40]","superiori","disoccupato","centro",0.000823321339269379
"femmina","(30,40]","superiori","disoccupato","nord-est",0.000701347807525767
"femmina","(30,40]","superiori","disoccupato","nord-ovest",0.00073184119046167
"femmina","(30,40]","superiori","disoccupato","sud-isole",0.00228700372019272
"femmina","(30,40]","superiori","inattivo","centro",0.00094529487101299
"femmina","(30,40]","superiori","inattivo","nord-est",0.000792827956333476
"femmina","(30,40]","superiori","inattivo","nord-ovest",0.00140269561505153
"femmina","(30,40]","superiori","inattivo","sud-isole",0.0041471000792828
"femmina","(30,40]","superiori","occupato","centro",0.00375068610111606
"femmina","(30,40]","superiori","occupato","nord-est",0.00554979569433433
