"gen","edu","zone","age","count"
"femmina","laurea","centro","(20,30]",0.00338108488639051
"femmina","laurea","centro","(30,40]",0.00606147473350667
"femmina","laurea","centro","(40,50]",0.00599688169235539
"femmina","laurea","centro","(50,65]",0.00409612409655796
"femmina","laurea","centro","(65,95]",0.00303715682594931
"femmina","laurea","nord-est","(20,30]",0.00343031549760383
"femmina","laurea","nord-est","(30,40]",0.00524894828782509
"femmina","laurea","nord-est","(40,50]",0.00502825170788052
"femmina","laurea","nord-est","(50,65]",0.00322000073270379
"femmina","laurea","nord-est","(65,95]",0.0018681068981627
"femmina","laurea","nord-ovest","(20,30]",0.00447750638099778
"femmina","laurea","nord-ovest","(30,40]",0.00720989384760137
"femmina","laurea","nord-ovest","(40,50]",0.00658694067279696
"femmina","laurea","nord-ovest","(50,65]",0.00436649400903971
"femmina","laurea","nord-ovest","(65,95]",0.00296366508618843
"femmina","laurea","sud-isole","(20,30]",0.00511199244628877
"femmina","laurea","sud-isole","(30,40]",0.00712329755665422
"femmina","laurea","sud-isole","(40,50]",0.00615491106890747
"femmina","laurea","sud-isole","(50,65]",0.00435040108891737
"femmina","laurea","sud-isole","(65,95]",0.00339148883750124
"femmina","nessuna / elementari / medie","centro","(20,30]",0.00159587755612074
"femmina","nessuna / elementari / medie","centro","(30,40]",0.00290777151905102
"femmina","nessuna / elementari / medie","centro","(40,50]",0.00537333084376376
"femmina","nessuna / elementari / medie","centro","(50,65]",0.00790489991786413
"femmina","nessuna / elementari / medie","centro","(65,95]",0.0254383909559117
"femmina","nessuna / elementari / medie","nord-est","(20,30]",0.00151328789315452
"femmina","nessuna / elementari / medie","nord-est","(30,40]",0.00275295187209692
"femmina","nessuna / elementari / medie","nord-est","(40,50]",0.00497229173254452
"femmina","nessuna / elementari / medie","nord-est","(50,65]",0.00808688051803707
"femmina","nessuna / elementari / medie","nord-est","(65,95]",0.0261720465977475
"femmina","nessuna / elementari / medie","nord-ovest","(20,30]",0.00266354430074325
"femmina","nessuna / elementari / medie","nord-ovest","(30,40]",0.00451763906900576
"femmina","nessuna / elementari / medie","nord-ovest","(40,50]",0.0076141426884186
"femmina","nessuna / elementari / medie","nord-ovest","(50,65]",0.0113479879256613
"femmina","nessuna / elementari / medie","nord-ovest","(65,95]",0.0357821098305274
