"gen","emp","zone","age","count"
"femmina","disoccupato","centro","(20,30]",0.00137795522570254
"femmina","disoccupato","centro","(30,40]",0.00128112268528748
"femmina","disoccupato","centro","(40,50]",0.0014456248199742
"femmina","disoccupato","centro","(50,65]",0.00121287513006831
"femmina","disoccupato","nord-est","(20,30]",0.000957247819323243
"femmina","disoccupato","nord-est","(30,40]",0.00084529196744818
"femmina","disoccupato","nord-est","(40,50]",0.000833443768024104
"femmina","disoccupato","nord-est","(50,65]",0.00100813246441079
"femmina","disoccupato","nord-ovest","(20,30]",0.00150768337671372
"femmina","disoccupato","nord-ovest","(30,40]",0.00123180335109945
"femmina","disoccupato","nord-ovest","(40,50]",0.00141448717392678
"femmina","disoccupato","nord-ovest","(50,65]",0.0014342823363792
"femmina","disoccupato","sud-isole","(20,30]",0.0036596968830831
"femmina","disoccupato","sud-isole","(30,40]",0.00303106802583495
"femmina","disoccupato","sud-isole","(40,50]",0.00303439130128317
"femmina","disoccupato","sud-isole","(50,65]",0.00201436247403601
"femmina","inattivo","centro","(20,30]",0.00623600597004761
"femmina","inattivo","centro","(30,40]",0.00417665886892994
"femmina","inattivo","centro","(40,50]",0.00515122143497252
"femmina","inattivo","centro","(50,65]",0.0132846009505965
"femmina","inattivo","centro","(65,95]",0.0163765716112759
"femmina","inattivo","nord-est","(20,30]",0.00551088171627045
"femmina","inattivo","nord-est","(30,40]",0.0033503914493375
"femmina","inattivo","nord-est","(40,50]",0.00396669047303864
"femmina","inattivo","nord-est","(50,65]",0.0123743124582589
"femmina","inattivo","nord-est","(65,95]",0.0157091712071319
"femmina","inattivo","nord-ovest","(20,30]",0.00763341921431652
"femmina","inattivo","nord-ovest","(30,40]",0.0047385814001523
"femmina","inattivo","nord-ovest","(40,50]",0.00561753959279328
"femmina","inattivo","nord-ovest","(50,65]",0.0170431291557048
"femmina","inattivo","nord-ovest","(65,95]",0.0221713766430135
"femmina","inattivo","sud-isole","(20,30]",0.0162802929501022
"femmina","inattivo","sud-isole","(30,40]",0.0137782759265996
"femmina","inattivo","sud-isole","(40,50]",0.0170097037475734
"femmina","inattivo","sud-isole","(50,65]",0.034084187284681
"femmina","inattivo","sud-isole","(65,95]",0.028059690939718
"femmina","occupato","centro","(20,30]",0.00532925748851357
"femmina","occupato","centro","(30,40]",0.0102658868400147
"femmina","occupato","centro","(40,50]",0.0148582441204454
"femmina","occupato","centro","(50,65]",0.0189232120362679
"femmina","occupato","centro","(65,95]",0.0011679145846928
"femmina","occupato","nord-est","(20,30]",0.00657996497893802
"femmina","occupato","nord-est","(30,40]",0.0108842087270321
"femmina","occupato","nord-est","(40,50]",0.0156818143889495
