"zone","pastvote","count"
"centro","CDX",0.0704494054265114
"centro","CSX",0.0552780541930028
"centro","M5S",0.0635796060774204
"centro","altri",0.0178606682723839
"nord-est","CDX",0.081333903931098
"nord-est","CSX",0.0536278053066261
"nord-est","M5S",0.0509143699248893
"nord-est","altri",0.016247814998424
"nord-ovest","CDX",0.120026699492787
"nord-ovest","CSX",0.0683868303250522
"nord-ovest","M5S",0.0640664189928053
"nord-ovest","altri",0.0185524261971856
"sud-isole","CDX",0.0982587074145664
"sud-isole","CSX",0.0513054403277025
"sud-isole","M5S",0.148257341622045
"sud-isole","altri",0.0218545074975006
