"gen","zone","age","emp","edu","pastvote","nowvote"
"femmina","nord-est","(65,95]","inattivo","superiori","altri","M5S"
"femmina","nord-ovest","(50,65]","occupato","superiori","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","laurea","CDX","CDX"
"maschio","nord-est","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-ovest","(50,65]","occupato","superiori","CDX","altri"
"maschio","nord-ovest","(50,65]","occupato","laurea","M5S","CSX"
"maschio","centro","(65,95]","inattivo","laurea","CDX","CDX"
"maschio","centro","(40,50]","occupato","laurea","CDX","CDX"
"maschio","nord-est","(50,65]","occupato","nessuna / elementari / medie","CDX","CDX"
"maschio","nord-est","(40,50]","occupato","laurea","altri","altri"
"maschio","nord-ovest","(65,95]","inattivo","superiori","M5S","M5S"
"femmina","nord-est","(50,65]","inattivo","superiori","CDX","altri"
"femmina","nord-ovest","(50,65]","inattivo","nessuna / elementari / medie","altri","altri"
"femmina","sud-isole","(65,95]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","centro","(50,65]","occupato","laurea","altri","CSX"
"maschio","nord-ovest","(50,65]","inattivo","superiori","M5S","CSX"
"maschio","nord-est","(50,65]","occupato","laurea","CDX","CDX"
"maschio","nord-est","(50,65]","inattivo","nessuna / elementari / medie","M5S","M5S"
"maschio","nord-est","(50,65]","occupato","laurea","CDX","CDX"
"maschio","centro","(65,95]","inattivo","nessuna / elementari / medie","altri","CSX"
"maschio","centro","(65,95]","inattivo","superiori","CSX","CSX"
"femmina","centro","(50,65]","occupato","nessuna / elementari / medie","CDX","CDX"
"maschio","nord-ovest","(65,95]","inattivo","superiori","CDX","CDX"
"femmina","nord-est","(65,95]","inattivo","laurea","CDX","CDX"
"femmina","centro","(65,95]","inattivo","nessuna / elementari / medie","CSX","altri"
"femmina","nord-ovest","(65,95]","inattivo","superiori","CSX","CSX"
"maschio","nord-est","(65,95]","inattivo","superiori","CDX","CDX"
"maschio","nord-est","(50,65]","occupato","superiori","altri","altri"
"maschio","centro","(50,65]","inattivo","superiori","CSX","CSX"
